group,entity,sentence,span1L,span1R
literal,United States,"on august 15 , computer software retailer softbank said it would buy 80 percent of kingston , the world's largest maker of memory boards , for about $ 1 .5 billion in the latest in a series of high-profile acquisitions it has made in the united states .",45.0,47.0
metonymic,White House,"asked if chelsea would have a prominent role in the campaign , white house spokesman mike mccurry said : "" she'll do what she did today when she can .",12.0,14.0
metonymic,Belgium,"with only the group seven winners qualifying automatically for the 1998 finals in france , belgium could not afford a slip-up at home and they frantically chased a decisive third goal .",15.0,16.0
metonymic,California,"california played without interim manager john mcnamara , who was admitted to a new york hospital with a blood clot in his right calf .",0.0,1.0
literal,France,"with only the group seven winners qualifying automatically for the 1998 finals in france , belgium could not afford a slip-up at home and they frantically chased a decisive third goal .",13.0,14.0
literal,Japan,"figures released two weeks ago from japan 's seven largest mills already showed that japan's can sheet output reached its highest monthly level ever in july , reflecting above-average temperatures that sparked a jump in beer consumption .",6.0,7.0
metonymic,Pakistan,"kenya , south africa , pakistan and sri lanka will take part in the series .",5.0,6.0
metonymic,Soviet Union,"barter has always been a feature of the soviet union 's foreign trade , but yeltsin's decrees liberalising foreign trade in 1991-1992 has given barter a new impetus .",8.0,10.0
metonymic,China,"proud of its record in promptly joining both the council of europe and nato's partnership for peace , ukraine caused a foreign policy wrangle this week , offending china by allowing a taiwanese minister to appear on a public , if unofficial visit .",28.0,29.0
metonymic,Ahold NV,"dutch supermarkets group ahold nv said on friday it had launched a second food store format for asian consumers today , opening 16 bilo food discount stores in malaysia .",3.0,5.0
metonymic,Iran,there were unconfirmed reports that iran had sent troops into northern iraq in response to iraq's attack .,5.0,6.0
literal,Belfast,"a woman was charged on friday with terrorist offences after three irish republican army mortar bombs were found in a belfast house , police said .",20.0,21.0
literal,Bosnia,"bosnia 's ruling moslem nationalist party on friday called on its refugee voters to end a boycott of absentee balloting in national elections , citing assurances provided by a u .s . envoy , government radio said .",0.0,1.0
metonymic,England,ince was clambering over a wall at the republican stadium in chisinau as glenn hoddle's england players tried to escape heavy rain during an under-21 clash .,15.0,16.0
literal,Greece,"french premier alain juppe will pay an official visit to greece on september 15 to celebrate 150 years of the french archaeological society , government spokesman dimitris reppas said on wednesday .",10.0,11.0
metonymic,United States,"the television also said that netanyahu had sent messages to reassure syria via cairo , the united states and moscow .",16.0,18.0
literal,Beijing,"downer was to meet chinese foreign minister qian qichen and sign an agreement on an australian consulate in hong kong , an official of the australian embassy in beijing said .",28.0,29.0
metonymic,South Africa,"kenya , south africa , pakistan and sri lanka will take part in the series .",2.0,4.0
literal,Estonia,estonia 's parliament again failed to elect a new state president on tuesday when neither of two candidates secured a majority in second-round voting .,0.0,1.0
metonymic,Germany,""" i recommend people sell strangles in a number of markets -- in germany and france in particular .",13.0,14.0
literal,France,"in europe , the service is available in germany , france and britain .",10.0,11.0
metonymic,Hisao Horinouchi,"earlier , posts and telecommunications minister hisao horinouchi told a news conference the government plans to split ntt into three firms under a holding company , but did not specify when the restructuring would likely take effect .",6.0,8.0
literal,Missouri,"st . louis-based mercantile bancorp inc . , a bank holding company with $ 18 .04 billion in assets , was seen by many analysts as the most attractive missouri franchise in size after boatmen's .",29.0,30.0
metonymic,Iran,"iran subsequently said it regretted the incident , which it said had been the result of a misunderstanding .",0.0,1.0
literal,Altamira,"preliminary reports said the couple were kidnapped on the "" altamira "" farm , owned by dutchman richard wisinga , at aguas zarcas de san carlos near the costa rica-nicaragua border .",10.0,11.0
metonymic,Australia,"australia , batting first in thursday's the warm-up match , scored 251 for seven from their 50 overs .",0.0,1.0
literal,Romania,rios claimed a 4-6 6-1 6-4 6-2 victory over romania 's andrei pavel .,9.0,10.0
literal,Michigan,"clinton departs on sunday on a four-day train trip through west virginia , kentucky , ohio , michigan and indiana while fellow democrats are gathered in chicago .",17.0,18.0
metonymic,Mexico,bancomext official says mexico peso level suitable .,3.0,4.0
literal,Germany,"publishing and distributing neo-nazi material is illegal in germany but lauck's defence team had argued that u .s freedom of speech laws meant he was free to produce his swastika-covered books , magazines , videos and flags in his homeland .",8.0,9.0
literal,Yugoslavia,partizan belgrade (yugoslavia ) 78 kinder bologna (italy) 70 (halftime 44-35),2.0,3.0
literal,Chechnya,"a british aid worker , held hostage in chechnya for nearly four weeks , said on saturday a cocked kalashnikov had been thrust into his mouth at one point during his ordeal .",8.0,9.0
metonymic,World Trade Organisation,"singapore's winning campaign to host the world trade organisation ( wto )'s first ministerial meeting reflected its ambition to play a key role in shaping global free trade , the lifeblood of its economy , analysts said .",6.0,9.0
metonymic,Sri Lanka,armed police commandos patrolled the ground when australia opened their short tour of sri lanka with a five-run win over the country's youth team on thursday .,13.0,15.0
literal,Romania,"a project to computerise the national accounting system of romania is currently under way , though ruman expressed caution regarding his company's chances of winning that account .",9.0,10.0
literal,U.S.,u .s . physicist who discovered the two zones of radiation encircling the earth to which he gave his name .,0.0,2.0
literal,Kansas,"from central texas north to kansas , rains throughout july and august have relieved most of the drought conditions that plagued the region earlier this year .",5.0,6.0
literal,Brazil,"santa fe has mining and exploration operations in nevada , california , montana , canada , brazil , australia , chile , kazakstan , mexico and ghana .",16.0,17.0
literal,Sao Paulo,the newspaper said the central bank special administration of banespa ends in december 30 and after that the bank has to be liquidated or turned into a federal bank since there are no conditions to return banespa to sao paulo state government .,38.0,40.0
literal,U.S.,johnson ran the same time at the u .s . olympic trials in atlanta in june to become the second equal fastest hurdler of all time with american roger kingdom .,7.0,9.0
metonymic,African Football Confederation,the african football confederation ( caf ) on wednesday formally confirmed burundi's disqualification from the african nations cup following the team's inability to travel for a qualifier against central african republic .,1.0,4.0
literal,U.S.,"wheat / barley sale - the japanese food agency said it bought 20 ,000 tonnes of u .s . dark northern spring wheat , 20 ,000 of canadian western red spring wheat , 20 ,000 of australian standard white wheat and 20 ,000 of australian feed barley at its weekly tender , all for october shipment .",16.0,18.0
